city,lon,lat,month,monthnum,sunshine,order
Seattle,-122.335167,47.608013,Jan,0,69,0
Chicago,-87.623177,41.881832,Jan,0,66,1
Houston,-95.358421,29.749907,Jan,0,9,2
New York,-73.935242,40.73061,Jan,0,10,3
San Francisco,-122.446747,37.733795,Jan,0,11,4
Miami,-80.191788,25.761681,Jan,0,57,5
Seattle,-122.335167,47.608013,Feb,1,108,0
Chicago,-87.623177,41.881832,Feb,1,28,1
Houston,-95.358421,29.749907,Feb,1,5,2
New York,-73.935242,40.73061,Feb,1,30,3
San Francisco,-122.446747,37.733795,Feb,1,11,4
Miami,-80.191788,25.761681,Feb,1,45,5
Seattle,-122.335167,47.608013,Mar,2,178,0
Chicago,-87.623177,41.881832,Mar,2,9,1
Houston,-95.358421,29.749907,Mar,2,6,2
New York,-73.935242,40.73061,Mar,2,20,3
San Francisco,-122.446747,37.733795,Mar,2,38,4
Miami,-80.191788,25.761681,Mar,2,15,5
Seattle,-122.335167,47.608013,Apr,3,207,0
Houston,-95.358421,29.749907,Apr,3,5,1
Chicago,-87.623177,41.881832,Apr,3,3,2
New York,-73.935242,40.73061,Apr,3,22,3
Miami,-80.191788,25.761681,Apr,3,38,4
San Francisco,-122.446747,37.733795,Apr,3,6,5
Seattle,-122.335167,47.608013,May,4,253,0
Houston,-95.358421,29.749907,May,4,13,1
New York,-73.935242,40.73061,May,4,2,2
Miami,-80.191788,25.761681,May,4,12,3
Chicago,-87.623177,41.881832,May,4,1,4
San Francisco,-122.446747,37.733795,May,4,33,5
Miami,-80.191788,25.761681,Jun,5,251,0
Seattle,-122.335167,47.608013,Jun,5,17,1
New York,-73.935242,40.73061,Jun,5,21,2
Houston,-95.358421,29.749907,Jun,5,9,3
Chicago,-87.623177,41.881832,Jun,5,13,4
San Francisco,-122.446747,37.733795,Jun,5,19,5
Miami,-80.191788,25.761681,Jul,6,267,0
Houston,-95.358421,29.749907,Jul,6,27,1
San Francisco,-122.446747,37.733795,Jul,6,6,2
New York,-73.935242,40.73061,Jul,6,2,3
Seattle,-122.335167,47.608013,Jul,6,10,4
Chicago,-87.623177,41.881832,Jul,6,6,5
Miami,-80.191788,25.761681,Aug,7,263,0
New York,-73.935242,40.73061,Aug,7,8,1
San Francisco,-122.446747,37.733795,Aug,7,1,2
Houston,-95.358421,29.749907,Aug,7,9,3
Seattle,-122.335167,47.608013,Aug,7,0,4
Chicago,-87.623177,41.881832,Aug,7,2,5
Miami,-80.191788,25.761681,Sep,8,216,0
Seattle,-122.335167,47.608013,Sep,8,5,1
Chicago,-87.623177,41.881832,Sep,8,5,2
New York,-73.935242,40.73061,Sep,8,9,3
Houston,-95.358421,29.749907,Sep,8,3,4
San Francisco,-122.446747,37.733795,Sep,8,29,5
Seattle,-122.335167,47.608013,Oct,9,142,0
Chicago,-87.623177,41.881832,Oct,9,51,1
New York,-73.935242,40.73061,Oct,9,20,2
Miami,-80.191788,25.761681,Oct,9,2,3
Houston,-95.358421,29.749907,Oct,9,24,4
San Francisco,-122.446747,37.733795,Oct,9,4,5
Seattle,-122.335167,47.608013,Nov,10,72,0
Chicago,-87.623177,41.881832,Nov,10,41,1
New York,-73.935242,40.73061,Nov,10,56,2
Houston,-95.358421,29.749907,Nov,10,12,3
San Francisco,-122.446747,37.733795,Nov,10,8,4
Miami,-80.191788,25.761681,Nov,10,23,5
Seattle,-122.335167,47.608013,Dec,11,52,0
Chicago,-87.623177,41.881832,Dec,11,54,1
Houston,-95.358421,29.749907,Dec,11,40,2
New York,-73.935242,40.73061,Dec,11,9,3
San Francisco,-122.446747,37.733795,Dec,11,1,4
Miami,-80.191788,25.761681,Dec,11,53,5
