DateTime,Wind Speed,Gust,Direction,Wind
2025-01-05 16:51:00,6,,220,6.0
2025-01-05 17:51:00,0,,0,0.0
2025-01-05 18:51:00,3,,70,3.0
2025-01-05 19:51:00,3,,60,3.0
2025-01-05 20:51:00,3,,60,3.0
2025-01-05 21:51:00,3,,10,3.0
2025-01-05 22:51:00,3,,50,3.0
2025-01-05 23:51:00,3,,50,3.0
2025-01-06 00:51:00,3,,360,3.0
2025-01-06 01:51:00,6,,40,6.0
2025-01-06 02:51:00,3,,270,3.0
2025-01-06 03:51:00,0,,0,0.0
2025-01-06 04:51:00,3,,20,3.0
2025-01-06 05:51:00,3,,20,3.0
2025-01-06 06:51:00,3,,20,3.0
2025-01-06 07:51:00,3,,40,3.0
2025-01-06 08:51:00,0,,0,0.0
2025-01-06 09:51:00,5,,190,5.0
2025-01-06 10:51:00,3,,190,3.0
2025-01-06 11:51:00,5,,200,5.0
2025-01-06 12:51:00,7,,200,7.0
2025-01-06 13:51:00,7,,200,7.0
2025-01-06 14:51:00,7,,210,7.0
2025-01-06 15:51:00,6,,200,6.0
2025-01-06 16:51:00,5,,220,5.0
2025-01-06 17:51:00,0,,0,0.0
2025-01-06 18:51:00,0,,0,0.0
2025-01-06 19:51:00,0,,0,0.0
2025-01-06 20:51:00,0,,0,0.0
2025-01-06 21:51:00,0,,0,0.0
2025-01-06 22:51:00,3,,40,3.0
2025-01-06 23:51:00,3,,50,3.0
2025-01-07 00:51:00,0,,0,0.0
2025-01-07 01:51:00,3,,20,3.0
2025-01-07 02:51:00,0,,0,0.0
2025-01-07 03:51:00,3,,40,3.0
2025-01-07 04:51:00,0,,0,0.0
2025-01-07 05:51:00,3,,30,3.0
2025-01-07 06:51:00,9,21.0,10,21.0
2025-01-07 07:51:00,10,22.0,10,22.0
2025-01-07 08:51:00,13,29.0,360,29.0
2025-01-07 09:51:00,20,36.0,10,36.0
2025-01-07 10:51:00,16,33.0,30,33.0
2025-01-07 11:51:00,13,21.0,20,21.0
2025-01-07 12:51:00,14,25.0,20,25.0
2025-01-07 13:51:00,15,30.0,360,30.0
2025-01-07 14:51:00,16,37.0,10,37.0
2025-01-07 15:51:00,15,44.0,10,44.0
2025-01-07 16:51:00,13,20.0,10,20.0
2025-01-07 17:51:00,17,30.0,10,30.0
2025-01-07 18:51:00,21,40.0,10,40.0
2025-01-07 19:51:00,22,41.0,360,41.0
2025-01-07 20:51:00,21,51.0,10,51.0
2025-01-07 21:51:00,25,55.0,10,55.0
2025-01-07 22:51:00,17,31.0,360,31.0
2025-01-07 23:51:00,14,31.0,360,31.0
2025-01-08 00:51:00,13,37.0,360,37.0
2025-01-08 01:51:00,12,33.0,10,33.0
2025-01-08 02:51:00,7,18.0,350,18.0
2025-01-08 03:51:00,8,21.0,350,21.0
2025-01-08 04:51:00,9,22.0,350,22.0
2025-01-08 05:51:00,7,,350,7.0
2025-01-08 06:51:00,10,28.0,40,28.0
2025-01-08 07:51:00,8,,350,8.0
2025-01-08 08:51:00,22,39.0,360,39.0
2025-01-08 09:51:00,18,41.0,10,41.0
2025-01-08 10:51:00,17,39.0,10,39.0
2025-01-08 11:51:00,18,38.0,360,38.0
2025-01-08 12:51:00,14,29.0,350,29.0
2025-01-08 13:51:00,14,35.0,360,35.0
2025-01-08 14:51:00,14,29.0,10,29.0
2025-01-08 15:51:00,14,31.0,360,31.0
2025-01-08 16:51:00,10,26.0,350,26.0
2025-01-08 17:51:00,7,,330,7.0
2025-01-08 18:51:00,6,,0,6.0
2025-01-08 19:51:00,6,,90,6.0
2025-01-08 20:51:00,10,21.0,20,21.0
2025-01-08 21:51:00,5,,50,5.0
2025-01-08 22:51:00,6,,60,6.0
2025-01-08 23:51:00,5,,70,5.0
2025-01-09 00:51:00,3,,340,3.0
2025-01-09 01:51:00,5,,360,5.0
2025-01-09 02:51:00,5,,60,5.0
2025-01-09 03:51:00,3,,330,3.0
2025-01-09 04:51:00,3,,10,3.0
2025-01-09 05:51:00,6,,70,6.0
2025-01-09 06:51:00,3,,60,3.0
2025-01-09 07:51:00,3,,60,3.0
2025-01-09 08:51:00,3,,0,3.0
2025-01-09 09:51:00,3,,70,3.0
2025-01-09 10:51:00,7,,80,7.0
2025-01-09 11:51:00,5,,100,5.0
2025-01-09 12:51:00,7,,220,7.0
2025-01-09 13:51:00,6,,240,6.0
2025-01-09 14:51:00,5,,250,5.0
2025-01-09 15:51:00,5,,180,5.0
2025-01-09 16:51:00,0,,0,0.0
2025-01-09 17:51:00,0,,0,0.0
2025-01-09 18:51:00,0,,0,0.0
2025-01-09 19:51:00,3,,10,3.0
2025-01-09 20:51:00,5,,360,5.0
2025-01-09 21:51:00,5,,350,5.0
2025-01-09 22:51:00,5,,360,5.0
2025-01-09 23:51:00,3,,260,3.0
